Intensity,Label - Bicycling,Label - Running,Label - Sitting,Label - Swimming,Milk,Name,Reset Label,Serving Size,Size,Size in ounce,Type,Type - Sitting,Whip,%DV - Added Sugars,%DV - Carbohydrate,%DV - Cholesterol,%DV - Dietary Fiber,%DV - Protein,%DV - Saturated Fat,%DV - Sodium,%DV - Total Fat,%DV - Trans Fat,Caffeine (mg),Calcium (%DV),Calories,Cholesterol (mg),Dietary Fiber (g),Iron (%DV),Number of Records,Protein (g),Saturated Fat (g),Sodium (mg),Sugar (g),Time to Burn - Bicycling,Time to Burn - Running,Time to Burn - Sitting,Time to Burn - Swimming,Total Carbohydrates (g),Total Fat (g),Trans Fat (g),Vitamin A (%DV),Vitamin C (%DV),Weight
Moderate,0 Mins,0 Mins,7 Mins,0 Mins,N/A,Espresso,Reset Filters,N/A,Doppio,,Coffee,Yes,N/A,0,0.007272727,0,0,0.02,0,0,0,0,150,0,10,0,0,0,1,1,0,0,0,0,0,420,0,2,0,0,0,0,170
Moderate,0 Mins,0 Mins,7 Mins,0 Mins,N/A,Iced Espresso,Reset Filters,N/A,Doppio,,Coffee,Yes,N/A,0,0.007272727,0,0,0.02,0,0,0,0,150,0,10,0,0,0,1,1,0,0,0,0,0,420,0,2,0,0,0,0,146
Moderate,3 Mins,2 Mins,27 Mins,3 Mins,N/A,Espresso Con Panna,Reset Filters,N/A,Doppio,,Coffee,Yes,Whip,0.02,0.010909091,0.033333333,0,0.02,0.075,0.001304348,0.032051282,0.017241379,150,0,35,10,0,0,1,1,1.5,3,1,180,120,1620,180,3,2.5,0.1,0.02,0,170
Moderate,1 Mins,1 Mins,11 Mins,1 Mins,Nonfat,Espresso Macchiato,Reset Filters,N/A,Doppio,,Coffee,Yes,N/A,0,0.007272727,0,0,0.02,0,0.000869565,0,0,150,0,15,0,0,0,1,1,0,2,0,60,60,660,60,2,0,0,0,0,170
Moderate,1 Mins,1 Mins,11 Mins,1 Mins,2%,Espresso Macchiato,Reset Filters,N/A,Doppio,,Coffee,Yes,N/A,0,0.007272727,0,0,0.02,0,0.000869565,0.001282051,0,150,0,15,0,0,0,1,1,0,2,0,60,60,660,60,2,0.1,0,0,0,155
Moderate,1 Mins,1 Mins,11 Mins,1 Mins,Whole,Espresso Macchiato,Reset Filters,N/A,Doppio,,Coffee,Yes,N/A,0,0.007272727,0,0,0.02,0,0.000869565,0.001282051,0,150,0,15,0,0,0,1,1,0,2,0,60,60,660,60,2,0.1,0,0,0,170
Moderate,1 Mins,1 Mins,11 Mins,1 Mins,Soy,Espresso Macchiato,Reset Filters,N/A,Doppio,,Coffee,Yes,N/A,0,0.007272727,0,0,0.02,0,0.000869565,0.001282051,0,150,0,15,0,0,0,1,1,0,2,0,60,60,660,60,2,0.1,0,0,0,170
Moderate,0 Mins,0 Mins,7 Mins,0 Mins,Coconut,Espresso Macchiato,Reset Filters,N/A,Doppio,,Coffee,Yes,N/A,0,0.007272727,0,0,0.02,0.005,0.000869565,0.001282051,0,150,0,10,0,0,0,1,1,0.1,2,0,0,0,420,0,2,0.1,0,0,0,100
Moderate,0 Mins,0 Mins,3 Mins,0 Mins,N/A,Brewed Coffee - Dark Roast,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,N/A,0,0,0,0,0.02,0,0.004347826,0.001282051,0,260,0,5,0,0,0,1,1,0,10,0,0,0,180,0,0,0.1,0,0,0,170
Moderate,0 Mins,0 Mins,3 Mins,0 Mins,N/A,Brewed Coffee - Decaf Pike Place® Roast,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,N/A,0,0,0,0,0.02,0,0.004347826,0.001282051,0,25,0,5,0,0,0,1,1,0,10,0,0,0,180,0,0,0.1,0,0,0,170
Moderate,0 Mins,0 Mins,3 Mins,0 Mins,N/A,Brewed Coffee - Medium Roast,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,N/A,0,0,0,0,0.02,0,0.004347826,0.001282051,0,310,0,5,0,0,0,1,1,0,10,0,0,0,180,0,0,0.1,0,0,0,170
Moderate,0 Mins,0 Mins,3 Mins,0 Mins,N/A,Brewed Coffee - True North Blend Blonde Roast,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,N/A,0,0,0,0,0.02,0,0.004347826,0.001282051,0,360,0,5,0,0,0,1,1,0,10,0,0,0,180,0,0,0.1,0,0,0,123
Moderate,6 Mins,4 Mins,54 Mins,6 Mins,Nonfat,Caffè Misto,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,N/A,0.2,0.036363636,0.016666667,0,0.14,0.005,0.039130435,0.002564103,0,150,0.25,70,5,0,0,1,7,0.1,90,10,360,240,3240,360,10,0.2,0,0.15,0,170
Moderate,10 Mins,7 Mins,1 Hrs : 25 Mins,10 Mins,2%,Caffè Misto,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,N/A,0.2,0.036363636,0.05,0,0.14,0.1,0.043478261,0.051282051,0.017241379,150,0.25,110,15,0,0,1,7,2,100,10,600,420,5100,600,10,4,0.1,0.1,0,170
Moderate,12 Mins,9 Mins,1 Hrs : 41 Mins,12 Mins,Whole,Caffè Misto,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,N/A,0.2,0.036363636,0.066666667,0,0.14,0.2,0.041304348,0.08974359,0.034482759,150,0.2,130,20,0,0,1,7,4,95,10,720,540,6060,720,10,7,0.2,0.1,0,180
Moderate,7 Mins,5 Mins,1 Hrs : 2 Mins,7 Mins,Soy,Caffè Misto,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,N/A,0.1,0.021818182,0,0.035714286,0.12,0.02,0.034782609,0.038461538,0,150,0.25,80,0,1,0.1,1,6,0.4,80,5,420,300,3720,420,6,3,0,0.08,0,170
Moderate,6 Mins,4 Mins,54 Mins,6 Mins,Coconut,Caffè Misto,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,N/A,0.14,0.025454545,0,0,0.02,0.225,0.039130435,0.057692308,0,150,0,70,0,0,0,1,1,4.5,90,7,360,240,3240,360,7,4.5,0,0,0,170
Moderate,0 Mins,0 Mins,7 Mins,0 Mins,N/A,Clover® Brewed Coffee - Dark Roast,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,N/A,0,0,0,0,0.02,0,0.004347826,0,0,380,0,10,0,0,0,1,1,0,10,0,0,0,420,0,0,0,0,0,0,170
Moderate,0 Mins,0 Mins,7 Mins,0 Mins,N/A,Clover® Brewed Coffee - Light Roast,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,N/A,0,0,0,0,0.02,0,0.004347826,0,0,340,0,10,0,0,0,1,1,0,10,0,0,0,420,0,0,0,0,0,0,170
Moderate,0 Mins,0 Mins,7 Mins,0 Mins,N/A,Clover® Brewed Coffee - Medium Roast,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,N/A,0,0,0,0,0.02,0,0.004347826,0,0,375,0,10,0,0,0,1,1,0,10,0,0,0,420,0,0,0,0,0,0,170
Moderate,7 Mins,5 Mins,1 Hrs : 2 Mins,7 Mins,N/A,Iced Coffee,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,N/A,0.4,0.072727273,0,0,0.006,0,0.004347826,0.001282051,0,165,0.02,80,0,0,0,1,0.3,0,10,20,420,300,3720,420,20,0.1,0,0,0,170
Moderate,9 Mins,7 Mins,1 Hrs : 17 Mins,9 Mins,Nonfat,Iced Coffee with Milk,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,N/A,0.46,0.083636364,0,0,0.04,0,0.015217391,0.001282051,0,125,0.08,100,0,0,0,1,2,0,35,23,540,420,4620,540,23,0.1,0,0.04,0,170
Moderate,10 Mins,7 Mins,1 Hrs : 25 Mins,10 Mins,2%,Iced Coffee with Milk,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,N/A,0.46,0.083636364,0.016666667,0,0.04,0.05,0.017391304,0.019230769,0.017241379,125,0.08,110,5,0,0,1,2,1,40,23,600,420,5100,600,23,1.5,0.1,0.04,0,170
Moderate,11 Mins,8 Mins,1 Hrs : 33 Mins,11 Mins,Whole,Iced Coffee with Milk,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,N/A,0.46,0.083636364,0.016666667,0,0.04,0.05,0.015217391,0.025641026,0.017241379,125,0.08,120,5,0,0,1,2,1,35,23,660,480,5580,660,23,2,0.1,0.02,0,170
Moderate,10 Mins,7 Mins,1 Hrs : 25 Mins,10 Mins,Soy,Iced Coffee with Milk,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,N/A,0.42,0.08,0,0,0.04,0.005,0.015217391,0.012820513,0,125,0.08,110,0,0,0.04,1,2,0.1,35,21,600,420,5100,600,22,1,0,0.02,0,170
Moderate,9 Mins,7 Mins,1 Hrs : 17 Mins,9 Mins,Coconut,Iced Coffee with Milk,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,N/A,0.44,0.08,0,0,0.008,0.075,0.015217391,0.019230769,0,150,0,100,0,0,0,1,0.4,1.5,35,22,540,420,4620,540,22,1.5,0,0,0,170
Moderate,0 Mins,0 Mins,2 Mins,0 Mins,N/A,Cold Brewed Coffee,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,N/A,0,0,0,0,0.004,0,0.006521739,0,0,200,0.02,3,0,0,0,1,0.2,0,15,0,0,0,120,0,0,0,0,0,0,170
Moderate,10 Mins,7 Mins,1 Hrs : 25 Mins,10 Mins,N/A,Vanilla Sweet Cream Cold Brew,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,N/A,0.28,0.050909091,0.066666667,0,0.02,0.175,0.010869565,0.076923077,0.034482759,185,0.04,110,20,0,0,1,1,3.5,25,14,600,420,5100,600,14,6,0.2,0.06,0,170
Moderate,1 Mins,1 Mins,11 Mins,1 Mins,N/A,Caffè Americano,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,N/A,0,0.010909091,0,0,0.02,0,0.006521739,0,0,225,0.02,15,0,0,0,1,1,0,15,0,60,60,660,60,3,0,0,0,0,170
Moderate,1 Mins,1 Mins,11 Mins,1 Mins,N/A,Iced Caffè Americano,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,N/A,0,0.010909091,0,0,0.02,0,0.006521739,0,0,225,0.02,15,0,0,0,1,1,0,15,0,60,60,660,60,3,0,0,0,0,170
Moderate,12 Mins,9 Mins,1 Hrs : 41 Mins,12 Mins,Nonfat,Caffè Latte,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,N/A,0.36,0.069090909,0.016666667,0,0.26,0.01,0.065217391,0.003846154,0,150,0.4,130,5,0,0,1,13,0.2,150,18,720,540,6060,720,19,0.3,0,0.2,0,200
Moderate,18 Mins,13 Mins,2 Hrs : 27 Mins,18 Mins,2%,Caffè Latte,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,N/A,0.34,0.069090909,0.1,0,0.24,0.225,0.073913043,0.08974359,0.051724138,150,0.4,190,30,0,0,1,12,4.5,170,17,1080,780,8820,1080,19,7,0.3,0.2,0.02,210
Moderate,22 Mins,16 Mins,2 Hrs : 58 Mins,22 Mins,Whole,Caffè Latte,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,N/A,0.34,0.069090909,0.116666667,0,0.24,0.35,0.065217391,0.141025641,0.051724138,150,0.35,230,35,0,0,1,12,7,150,17,1320,960,10680,1320,19,11,0.3,0.15,0,170
Moderate,14 Mins,10 Mins,1 Hrs : 56 Mins,14 Mins,Soy,Caffè Latte,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,N/A,0.16,0.047272727,0,0.035714286,0.2,0.025,0.056521739,0.064102564,0,150,0.4,150,0,1,0.15,1,10,0.5,130,8,840,600,6960,840,13,5,0,0.15,0,180
Moderate,13 Mins,9 Mins,1 Hrs : 48 Mins,13 Mins,Coconut,Caffè Latte,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,N/A,0.24,0.050909091,0,0,0.02,0.4,0.065217391,0.102564103,0,150,0,140,0,0,0,1,1,8,150,12,780,540,6480,780,14,8,0,0,0,170
Moderate,8 Mins,6 Mins,1 Hrs : 10 Mins,8 Mins,Nonfat,Iced Caffè Latte,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,N/A,0.22,0.047272727,0.016666667,0,0.16,0.005,0.045652174,0.002564103,0,150,0.25,90,5,0,0,1,8,0.1,105,11,480,360,4200,480,13,0.2,0,0.15,0,160
Moderate,12 Mins,9 Mins,1 Hrs : 41 Mins,12 Mins,2%,Iced Caffè Latte,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,N/A,0.22,0.047272727,0.066666667,0,0.16,0.125,0.05,0.057692308,0.017241379,150,0.25,130,20,0,0,1,8,2.5,115,11,720,540,6060,720,13,4.5,0.1,0.15,0,150
Moderate,14 Mins,10 Mins,1 Hrs : 56 Mins,14 Mins,Whole,Iced Caffè Latte,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,N/A,0.22,0.047272727,0.083333333,0,0.16,0.225,0.045652174,0.08974359,0.034482759,150,0.25,150,25,0,0,1,8,4.5,105,11,840,600,6960,840,13,7,0.2,0.1,0,140
Moderate,9 Mins,7 Mins,1 Hrs : 17 Mins,9 Mins,Soy,Iced Caffè Latte,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,N/A,0.1,0.032727273,0,0.035714286,0.14,0.025,0.041304348,0.044871795,0,150,0.25,100,0,1,0.1,1,7,0.5,95,5,540,420,4620,540,9,3.5,0,0.1,0,130
Moderate,8 Mins,6 Mins,1 Hrs : 10 Mins,8 Mins,Coconut,Iced Caffè Latte,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,N/A,0.16,0.036363636,0,0,0.02,0.25,0.045652174,0.064102564,0,150,0,90,0,0,0,1,1,5,105,8,480,360,4200,480,10,5,0,0,0,120
Moderate,24 Mins,17 Mins,3 Hrs : 14 Mins,24 Mins,Nonfat,Caffè Mocha,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,No Whip,0.68,0.152727273,0.016666667,0.142857143,0.26,0.075,0.054347826,0.032051282,0,175,0.35,250,5,4,0.35,1,13,1.5,125,34,1440,1020,11640,1440,42,2.5,0,0.2,0,110
Moderate,31 Mins,22 Mins,4 Hrs : 8 Mins,31 Mins,Nonfat,Caffè Mocha,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,Whip,0.72,0.16,0.1,0.142857143,0.28,0.3,0.058695652,0.128205128,0.034482759,175,0.35,320,30,4,0.35,1,14,6,135,36,1860,1320,14880,1860,44,10,0.2,0.25,0,100
Moderate,28 Mins,20 Mins,3 Hrs : 45 Mins,28 Mins,2%,Caffè Mocha,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,No Whip,0.68,0.152727273,0.083333333,0.142857143,0.26,0.25,0.060869565,0.102564103,0.034482759,175,0.35,290,25,4,0.35,1,13,5,140,34,1680,1200,13500,1680,42,8,0.2,0.15,0.02,200
Moderate,35 Mins,25 Mins,4 Hrs : 40 Mins,35 Mins,2%,Caffè Mocha,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,Whip,0.7,0.16,0.166666667,0.142857143,0.26,0.45,0.065217391,0.192307692,0.086206897,175,0.35,360,50,4,0.35,1,13,9,150,35,2100,1500,16800,2100,44,15,0.5,0.25,0.02,210
Moderate,32 Mins,23 Mins,4 Hrs : 16 Mins,32 Mins,Whole,Caffè Mocha,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,No Whip,0.68,0.152727273,0.1,0.142857143,0.26,0.35,0.056521739,0.153846154,0.051724138,175,0.3,330,30,4,0.35,1,13,7,130,34,1920,1380,15360,1920,42,12,0.3,0.15,0,220
Moderate,38 Mins,28 Mins,5 Hrs : 11 Mins,38 Mins,Whole,Caffè Mocha,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,Whip,0.7,0.16,0.183333333,0.142857143,0.26,0.55,0.058695652,0.243589744,0.086206897,175,0.35,400,55,4,0.35,1,13,11,135,35,2280,1680,18660,2280,44,19,0.5,0.2,0,230
Moderate,25 Mins,18 Mins,3 Hrs : 22 Mins,25 Mins,Soy,Caffè Mocha,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,No Whip,0.52,0.134545455,0,0.178571429,0.22,0.1,0.047826087,0.08974359,0,175,0.35,260,0,5,0.5,1,11,2,110,26,1500,1080,12120,1500,37,7,0,0.1,0,155
Moderate,32 Mins,23 Mins,4 Hrs : 16 Mins,32 Mins,Soy,Caffè Mocha,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,Whip,0.56,0.141818182,0.083333333,0.178571429,0.24,0.3,0.05,0.179487179,0.034482759,175,0.35,330,25,5,0.5,1,12,6,115,28,1920,1380,15360,1920,39,14,0.2,0.2,0,165
Moderate,24 Mins,17 Mins,3 Hrs : 14 Mins,24 Mins,Coconut,Caffè Mocha,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,No Whip,0.6,0.138181818,0,0.142857143,0.08,0.4,0.056521739,0.115384615,0,175,0.02,250,0,4,0.35,1,4,8,130,30,1440,1020,11640,1440,38,9,0,0,0,178
Moderate,31 Mins,22 Mins,4 Hrs : 8 Mins,31 Mins,Coconut,Caffè Mocha,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,Whip,0.64,0.145454545,0.083333333,0.142857143,0.08,0.6,0.058695652,0.205128205,0.034482759,175,0.02,320,25,4,0.35,1,4,12,135,32,1860,1320,14880,1860,40,16,0.2,0.08,0,189
Moderate,19 Mins,14 Mins,2 Hrs : 35 Mins,19 Mins,Nonfat,Iced Caffè Mocha,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,No Whip,0.56,0.130909091,0.016666667,0.142857143,0.18,0.075,0.034782609,0.032051282,0,175,0.2,200,5,4,0.35,1,9,1.5,80,28,1140,840,9300,1140,36,2.5,0,0.1,0,200.5
Moderate,31 Mins,22 Mins,4 Hrs : 8 Mins,31 Mins,Nonfat,Iced Caffè Mocha,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,Whip,0.6,0.145454545,0.15,0.142857143,0.2,0.4,0.039130435,0.179487179,0.051724138,175,0.25,320,45,4,0.35,1,10,8,90,30,1860,1320,14880,1860,40,14,0.3,0.25,0,212
Moderate,22 Mins,16 Mins,2 Hrs : 58 Mins,22 Mins,2%,Iced Caffè Mocha,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,No Whip,0.56,0.130909091,0.05,0.142857143,0.18,0.175,0.039130435,0.076923077,0.017241379,175,0.2,230,15,4,0.35,1,9,3.5,90,28,1320,960,10680,1320,36,6,0.1,0.1,0,223.5
Moderate,34 Mins,24 Mins,4 Hrs : 32 Mins,34 Mins,2%,Iced Caffè Mocha,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,Whip,0.6,0.141818182,0.183333333,0.142857143,0.2,0.55,0.043478261,0.217948718,0.086206897,175,0.2,350,55,4,0.35,1,10,11,100,30,2040,1440,16320,2040,39,17,0.5,0.2,0,235
Moderate,24 Mins,17 Mins,3 Hrs : 14 Mins,24 Mins,Whole,Iced Caffè Mocha,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,No Whip,0.56,0.130909091,0.05,0.142857143,0.18,0.225,0.034782609,0.102564103,0.034482759,175,0.2,250,15,4,0.35,1,9,4.5,80,28,1440,1020,11640,1440,36,8,0.2,0.08,0,200
Moderate,35 Mins,25 Mins,4 Hrs : 40 Mins,35 Mins,Whole,Iced Caffè Mocha,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,Whip,0.6,0.141818182,0.2,0.142857143,0.18,0.6,0.041304348,0.243589744,0.086206897,175,0.2,360,60,4,0.35,1,9,12,95,30,2100,1500,16800,2100,39,19,0.5,0.2,0,170
Moderate,20 Mins,14 Mins,2 Hrs : 43 Mins,20 Mins,Soy,Iced Caffè Mocha,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,No Whip,0.48,0.12,0,0.178571429,0.16,0.1,0.032608696,0.064102564,0,175,0.2,210,0,5,0.4,1,8,2,75,24,1200,840,9780,1200,33,5,0,0.06,0,180
Moderate,32 Mins,23 Mins,4 Hrs : 16 Mins,32 Mins,Soy,Iced Caffè Mocha,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,Whip,0.52,0.134545455,0.133333333,0.178571429,0.18,0.45,0.036956522,0.205128205,0.051724138,175,0.25,330,40,5,0.4,1,9,9,85,26,1920,1380,15360,1920,37,16,0.3,0.2,0,134
Moderate,20 Mins,14 Mins,2 Hrs : 43 Mins,20 Mins,Coconut,Iced Caffè Mocha,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,No Whip,0.52,0.123636364,0,0.142857143,0.08,0.25,0.034782609,0.076923077,0,175,0.02,210,0,4,0.35,1,4,5,80,26,1200,840,9780,1200,34,6,0,0,0,125
Moderate,31 Mins,22 Mins,4 Hrs : 8 Mins,31 Mins,Coconut,Iced Caffè Mocha,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,Whip,0.58,0.134545455,0.133333333,0.142857143,0.08,0.6,0.041304348,0.230769231,0.051724138,175,0.04,320,40,4,0.35,1,4,12,95,29,1860,1320,14880,1860,37,18,0.3,0.15,0,167
Moderate,7 Mins,5 Mins,1 Hrs : 2 Mins,7 Mins,Nonfat,Cappuccino,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,N/A,0.2,0.043636364,0.016666667,0,0.16,0.005,0.039130435,0.002564103,0,150,0.25,80,5,0,0,1,8,0.1,90,10,420,300,3720,420,12,0.2,0,0.15,0,178
Moderate,11 Mins,8 Mins,1 Hrs : 33 Mins,11 Mins,2%,Cappuccino,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,N/A,0.2,0.043636364,0.05,0,0.16,0.1,0.043478261,0.051282051,0.017241379,150,0.25,120,15,0,0,1,8,2,100,10,660,480,5580,660,12,4,0.1,0.1,0,180
Moderate,13 Mins,9 Mins,1 Hrs : 48 Mins,13 Mins,Whole,Cappuccino,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,N/A,0.2,0.043636364,0.066666667,0,0.14,0.2,0.039130435,0.08974359,0.034482759,150,0.2,140,20,0,0,1,7,4,90,10,780,540,6480,780,12,7,0.2,0.1,0,98
Moderate,9 Mins,7 Mins,1 Hrs : 17 Mins,9 Mins,Soy,Cappuccino,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,N/A,0.1,0.032727273,0,0.035714286,0.14,0.02,0.034782609,0.044871795,0,150,0.25,100,0,1,0.1,1,7,0.4,80,5,540,420,4620,540,9,3.5,0,0.08,0,137.3
Moderate,12 Mins,9 Mins,1 Hrs : 41 Mins,12 Mins,Coconut,Cappuccino,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,N/A,0.24,0.050909091,0,0,0.02,0.4,0.065217391,0.102564103,0,150,0,130,0,0,0,1,1,8,150,12,720,540,6060,720,14,8,0,0,0,133.2
Moderate,19 Mins,14 Mins,2 Hrs : 35 Mins,19 Mins,Nonfat,Caramel Macchiato,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,N/A,0.68,0.130909091,0.033333333,0,0.22,0.05,0.058695652,0.019230769,0,150,0.35,200,10,0,0,1,11,1,135,34,1140,840,9300,1140,36,1.5,0,0.2,0,129.1
Moderate,24 Mins,17 Mins,3 Hrs : 14 Mins,24 Mins,2%,Caramel Macchiato,Reset Filters,473 mL,Grande,16 fl oz,Coffee,Yes,N/A,0.66,0.127272727,0.083333333,0,0.2,0.225,0.065217391,0.08974359,0.034482759,150,0.3,250,25,0,0,1,10,4.5,150,33,1440,1020,11640,1440,35,7,0.2,0.2,0.02,125
